2025-03-30 23:48:57,962 - INFO - Timestep 45809| Episode 68/500000 | Score: 3.00 | Avg Reward: 1.12 | Epsilon: 1.0000 | Time: 0.61s |
2025-03-30 23:48:58,742 - INFO - Timestep 47004| Episode 69/500000 | Score: 4.00 | Avg Reward: 1.16 | Epsilon: 1.0000 | Time: 0.78s |
2025-03-30 23:48:59,082 - INFO - Timestep 47506| Episode 70/500000 | Score: 0.00 | Avg Reward: 1.14 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:48:59,542 - INFO - Timestep 48199| Episode 71/500000 | Score: 1.00 | Avg Reward: 1.14 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:49:00,006 - INFO - Timestep 48889| Episode 72/500000 | Score: 1.00 | Avg Reward: 1.14 | Epsilon: 1.0000 | Time: 0.46s |
2025-03-30 23:49:00,523 - INFO - Timestep 49676| Episode 73/500000 | Score: 2.00 | Avg Reward: 1.15 | Epsilon: 1.0000 | Time: 0.52s |
Model saved!
2025-03-30 23:49:00,976 - INFO - Timestep 50290| Episode 74/500000 | Score: 1.00 | Avg Reward: 1.15 | Epsilon: 1.0000 | Time: 0.45s |
2025-03-30 23:49:01,398 - INFO - Timestep 50922| Episode 75/500000 | Score: 1.00 | Avg Reward: 1.15 | Epsilon: 1.0000 | Time: 0.42s |
2025-03-30 23:49:02,057 - INFO - Timestep 51926| Episode 76/500000 | Score: 3.00 | Avg Reward: 1.17 | Epsilon: 1.0000 | Time: 0.66s |
2025-03-30 23:49:02,591 - INFO - Timestep 52736| Episode 77/500000 | Score: 2.00 | Avg Reward: 1.18 | Epsilon: 1.0000 | Time: 0.53s |
2025-03-30 23:49:03,129 - INFO - Timestep 53550| Episode 78/500000 | Score: 2.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.54s |
2025-03-30 23:49:03,536 - INFO - Timestep 54165| Episode 79/500000 | Score: 1.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:49:03,949 - INFO - Timestep 54767| Episode 80/500000 | Score: 1.00 | Avg Reward: 1.19 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:49:04,608 - INFO - Timestep 55771| Episode 81/500000 | Score: 3.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.66s |
2025-03-30 23:49:05,058 - INFO - Timestep 56453| Episode 82/500000 | Score: 1.00 | Avg Reward: 1.21 | Epsilon: 1.0000 | Time: 0.45s |
2025-03-30 23:49:05,526 - INFO - Timestep 57159| Episode 83/500000 | Score: 1.00 | Avg Reward: 1.20 | Epsilon: 1.0000 | Time: 0.47s |
2025-03-30 23:49:06,347 - INFO - Timestep 58410| Episode 84/500000 | Score: 5.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.82s |
2025-03-30 23:49:06,796 - INFO - Timestep 59092| Episode 85/500000 | Score: 1.00 | Avg Reward: 1.25 | Epsilon: 1.0000 | Time: 0.45s |
2025-03-30 23:49:07,259 - INFO - Timestep 59779| Episode 86/500000 | Score: 1.00 | Avg Reward: 1.24 | Epsilon: 1.0000 | Time: 0.46s |
Model saved!
2025-03-30 23:49:08,048 - INFO - Timestep 60966| Episode 87/500000 | Score: 4.00 | Avg Reward: 1.28 | Epsilon: 1.0000 | Time: 0.79s |
