2025-03-30 23:56:53,713 - INFO - Timestep 44988| Episode 64/500000 | Score: 1.00 | Avg Reward: 1.27 | Epsilon: 1.0000 | Time: 0.41s |
2025-03-30 23:56:54,365 - INFO - Timestep 45796| Episode 65/500000 | Score: 2.00 | Avg Reward: 1.28 | Epsilon: 1.0000 | Time: 0.65s |
2025-03-30 23:56:55,055 - INFO - Timestep 46794| Episode 66/500000 | Score: 3.00 | Avg Reward: 1.30 | Epsilon: 1.0000 | Time: 0.69s |
2025-03-30 23:56:55,660 - INFO - Timestep 47665| Episode 67/500000 | Score: 2.00 | Avg Reward: 1.31 | Epsilon: 1.0000 | Time: 0.60s |
2025-03-30 23:56:56,200 - INFO - Timestep 48364| Episode 68/500000 | Score: 1.00 | Avg Reward: 1.31 | Epsilon: 1.0000 | Time: 0.54s |
2025-03-30 23:56:56,754 - INFO - Timestep 49159| Episode 69/500000 | Score: 2.00 | Avg Reward: 1.32 | Epsilon: 1.0000 | Time: 0.55s |
Model saved!
2025-03-30 23:56:57,377 - INFO - Timestep 50081| Episode 70/500000 | Score: 3.00 | Avg Reward: 1.34 | Epsilon: 1.0000 | Time: 0.62s |
2025-03-30 23:56:57,927 - INFO - Timestep 50888| Episode 71/500000 | Score: 2.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.55s |
2025-03-30 23:56:58,346 - INFO - Timestep 51511| Episode 72/500000 | Score: 1.00 | Avg Reward: 1.35 | Epsilon: 1.0000 | Time: 0.42s |
2025-03-30 23:56:58,684 - INFO - Timestep 52008| Episode 73/500000 | Score: 0.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:56:59,033 - INFO - Timestep 52499| Episode 74/500000 | Score: 0.00 | Avg Reward: 1.31 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:56:59,525 - INFO - Timestep 53195| Episode 75/500000 | Score: 1.00 | Avg Reward: 1.31 | Epsilon: 1.0000 | Time: 0.49s |
2025-03-30 23:57:00,195 - INFO - Timestep 54192| Episode 76/500000 | Score: 3.00 | Avg Reward: 1.33 | Epsilon: 1.0000 | Time: 0.67s |
2025-03-30 23:57:00,543 - INFO - Timestep 54691| Episode 77/500000 | Score: 0.00 | Avg Reward: 1.31 | Epsilon: 1.0000 | Time: 0.35s |
2025-03-30 23:57:00,885 - INFO - Timestep 55191| Episode 78/500000 | Score: 0.00 | Avg Reward: 1.29 | Epsilon: 1.0000 | Time: 0.34s |
2025-03-30 23:57:01,228 - INFO - Timestep 55685| Episode 79/500000 | Score: 0.00 | Avg Reward: 1.28 | Epsilon: 1.0000 | Time: 0.34s |
